"","hgnc_symbol","description"
"ENSG00000196482","ESRRG","estrogen related receptor gamma [Source:HGNC Symbol;Acc:HGNC:3474]"
"ENSG00000196504","PRPF40A","pre-mRNA processing factor 40 homolog A [Source:HGNC Symbol;Acc:HGNC:16463]"
"ENSG00000196505","GDAP2","ganglioside induced differentiation associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18010]"
"ENSG00000196517","SLC6A9","solute carrier family 6 member 9 [Source:HGNC Symbol;Acc:HGNC:11056]"
"ENSG00000196550","FAM72A","family with sequence similarity 72 member A [Source:HGNC Symbol;Acc:HGNC:24044]"
"ENSG00000196604","POTEF","POTE ankyrin domain family member F [Source:HGNC Symbol;Acc:HGNC:33905]"
"ENSG00000196659","IFT70B","intraflagellar transport 70B [Source:HGNC Symbol;Acc:HGNC:26425]"
"ENSG00000196660","SLC30A10","solute carrier family 30 member 10 [Source:HGNC Symbol;Acc:HGNC:25355]"
"ENSG00000196754","S100A2","S100 calcium binding protein A2 [Source:HGNC Symbol;Acc:HGNC:10492]"
"ENSG00000196811","CHRNG","cholinergic receptor nicotinic gamma subunit [Source:HGNC Symbol;Acc:HGNC:1967]"
"ENSG00000196834","POTEI","POTE ankyrin domain family member I [Source:HGNC Symbol;Acc:HGNC:37093]"
"ENSG00000196843","ARID5A","AT-rich interaction domain 5A [Source:HGNC Symbol;Acc:HGNC:17361]"
"ENSG00000196862","RGPD4","RANBP2 like and GRIP domain containing 4 [Source:HGNC Symbol;Acc:HGNC:32417]"
"ENSG00000196872","CRACDL","CRACD like [Source:HGNC Symbol;Acc:HGNC:33454]"
"ENSG00000196878","LAMB3","laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]"
"ENSG00000196890","H2BC26","H2B clustered histone 26 [Source:HGNC Symbol;Acc:HGNC:20514]"
"ENSG00000196912","ANKRD36B","ankyrin repeat domain 36B [Source:HGNC Symbol;Acc:HGNC:29333]"
"ENSG00000196950","SLC39A10","solute carrier family 39 member 10 [Source:HGNC Symbol;Acc:HGNC:20861]"
"ENSG00000196975","ANXA4","annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]"
"ENSG00000197056","ZMYM1","zinc finger MYM-type containing 1 [Source:HGNC Symbol;Acc:HGNC:26253]"
"ENSG00000197121","PGAP1","post-GPI attachment to proteins inositol deacylase 1 [Source:HGNC Symbol;Acc:HGNC:25712]"
"ENSG00000197147","LRRC8B","leucine rich repeat containing 8 VRAC subunit B [Source:HGNC Symbol;Acc:HGNC:30692]"
"ENSG00000197223","C1D","C1D nuclear receptor corepressor [Source:HGNC Symbol;Acc:HGNC:29911]"
"ENSG00000197245","FAM110D","family with sequence similarity 110 member D [Source:HGNC Symbol;Acc:HGNC:25860]"
"ENSG00000197273","GUCA2A","guanylate cyclase activator 2A [Source:HGNC Symbol;Acc:HGNC:4682]"
"ENSG00000197312","DDI2","DNA damage inducible 1 homolog 2 [Source:HGNC Symbol;Acc:HGNC:24578]"
"ENSG00000197323","TRIM33","tripartite motif containing 33 [Source:HGNC Symbol;Acc:HGNC:16290]"
"ENSG00000197329","PELI1","pellino E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:8827]"
"ENSG00000197429","IPP","intracisternal A particle-promoted polypeptide [Source:HGNC Symbol;Acc:HGNC:6108]"
"ENSG00000197472","ZNF695","zinc finger protein 695 [Source:HGNC Symbol;Acc:HGNC:30954]"
"ENSG00000197520","FAM177B","family with sequence similarity 177 member B [Source:HGNC Symbol;Acc:HGNC:34395]"
"ENSG00000197530","MIB2","MIB E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:30577]"
"ENSG00000197557","IFT70A","intraflagellar transport 70A [Source:HGNC Symbol;Acc:HGNC:25853]"
"ENSG00000197568","ANKRD13C-DT","ANKRD13C divergent transcript [Source:HGNC Symbol;Acc:HGNC:4906]"
"ENSG00000197585","","novel transcript, antisense to VWC2L"
"ENSG00000197587","DMBX1","diencephalon/mesencephalon homeobox 1 [Source:HGNC Symbol;Acc:HGNC:19026]"
"ENSG00000197622","CDC42SE1","CDC42 small effector 1 [Source:HGNC Symbol;Acc:HGNC:17719]"
"ENSG00000197635","DPP4","dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]"
"ENSG00000197713","RPE","ribulose-5-phosphate-3-epimerase [Source:HGNC Symbol;Acc:HGNC:10293]"
"ENSG00000197747","S100A10","S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]"
"ENSG00000197756","RPL37A","ribosomal protein L37a [Source:HGNC Symbol;Acc:HGNC:10348]"
"ENSG00000197769","MAP1LC3C","microtubule associated protein 1 light chain 3 gamma [Source:HGNC Symbol;Acc:HGNC:13353]"
"ENSG00000197780","TAF13","TATA-box binding protein associated factor 13 [Source:HGNC Symbol;Acc:HGNC:11546]"
"ENSG00000197785","ATAD3A","ATPase family AAA domain containing 3A [Source:HGNC Symbol;Acc:HGNC:25567]"
"ENSG00000197852","INKA2","inka box actin regulator 2 [Source:HGNC Symbol;Acc:HGNC:28045]"
"ENSG00000197921","HES5","hes family bHLH transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:19764]"
"ENSG00000197927","NBEAP2","neurobeachin pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:40003]"
"ENSG00000197956","S100A6","S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]"
"ENSG00000197959","DNM3","dynamin 3 [Source:HGNC Symbol;Acc:HGNC:29125]"
"ENSG00000197965","MPZL1","myelin protein zero like 1 [Source:HGNC Symbol;Acc:HGNC:7226]"
"ENSG00000197982","C1orf122","chromosome 1 open reading frame 122 [Source:HGNC Symbol;Acc:HGNC:24789]"
"ENSG00000197989","SNHG12","small nucleolar RNA host gene 12 [Source:HGNC Symbol;Acc:HGNC:30062]"
"ENSG00000198049","AVPR1B","arginine vasopressin receptor 1B [Source:HGNC Symbol;Acc:HGNC:896]"
"ENSG00000198075","SULT1C4","sulfotransferase family 1C member 4 [Source:HGNC Symbol;Acc:HGNC:11457]"
"ENSG00000198130","HIBCH","3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908]"
"ENSG00000198142","SOWAHC","sosondowah ankyrin repeat domain family member C [Source:HGNC Symbol;Acc:HGNC:26149]"
"ENSG00000198160","MIER1","MIER1 transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29657]"
"ENSG00000198162","MAN1A2","mannosidase alpha class 1A member 2 [Source:HGNC Symbol;Acc:HGNC:6822]"
"ENSG00000198198","SZT2","SZT2 subunit of KICSTOR complex [Source:HGNC Symbol;Acc:HGNC:29040]"
"ENSG00000198203","SULT1C2","sulfotransferase family 1C member 2 [Source:HGNC Symbol;Acc:HGNC:11456]"
"ENSG00000198369","SPRED2","sprouty related EVH1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17722]"
"ENSG00000198380","GFPT1","glutamine--fructose-6-phosphate transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4241]"
"ENSG00000198399","ITSN2","intersectin 2 [Source:HGNC Symbol;Acc:HGNC:6184]"
"ENSG00000198468","FLVCR1-DT","FLVCR1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:39077]"
"ENSG00000198483","ANKRD35","ankyrin repeat domain 35 [Source:HGNC Symbol;Acc:HGNC:26323]"
"ENSG00000198492","YTHDF2","YTH N6-methyladenosine RNA binding protein F2 [Source:HGNC Symbol;Acc:HGNC:31675]"
"ENSG00000198520","ARMH1","armadillo like helical domain containing 1 [Source:HGNC Symbol;Acc:HGNC:34345]"
"ENSG00000198522","GPN1","GPN-loop GTPase 1 [Source:HGNC Symbol;Acc:HGNC:17030]"
"ENSG00000198586","TLK1","tousled like kinase 1 [Source:HGNC Symbol;Acc:HGNC:11841]"
"ENSG00000198612","COPS8","COP9 signalosome subunit 8 [Source:HGNC Symbol;Acc:HGNC:24335]"
"ENSG00000198625","MDM4","MDM4 regulator of p53 [Source:HGNC Symbol;Acc:HGNC:6974]"
"ENSG00000198626","RYR2","ryanodine receptor 2 [Source:HGNC Symbol;Acc:HGNC:10484]"
"ENSG00000198648","STK39","serine/threonine kinase 39 [Source:HGNC Symbol;Acc:HGNC:17717]"
"ENSG00000198658","ABHD17AP1","ABHD17A pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:28394]"
"ENSG00000198691","ABCA4","ATP binding cassette subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:34]"
"ENSG00000198700","IPO9","importin 9 [Source:HGNC Symbol;Acc:HGNC:19425]"
"ENSG00000198711","SSBP3-AS1","SSBP3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:32328]"
"ENSG00000198715","GLMP","glycosylated lysosomal membrane protein [Source:HGNC Symbol;Acc:HGNC:29436]"
"ENSG00000198734","F5","coagulation factor V [Source:HGNC Symbol;Acc:HGNC:3542]"
"ENSG00000198744","MTCO3P12","MT-CO3 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52042]"
"ENSG00000198746","GPATCH3","G-patch domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25720]"
"ENSG00000198754","OXCT2","3-oxoacid CoA-transferase 2 [Source:HGNC Symbol;Acc:HGNC:18606]"
"ENSG00000198756","COLGALT2","collagen beta(1-O)galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16790]"
"ENSG00000198758","EPS8L3","EPS8 signaling adaptor L3 [Source:HGNC Symbol;Acc:HGNC:21297]"
"ENSG00000198793","MTOR","mechanistic target of rapamycin kinase [Source:HGNC Symbol;Acc:HGNC:3942]"
"ENSG00000198797","BRINP2","BMP/retinoic acid inducible neural specific 2 [Source:HGNC Symbol;Acc:HGNC:13746]"
"ENSG00000198799","LRIG2","leucine rich repeats and immunoglobulin like domains 2 [Source:HGNC Symbol;Acc:HGNC:20889]"
"ENSG00000198815","FOXJ3","forkhead box J3 [Source:HGNC Symbol;Acc:HGNC:29178]"
"ENSG00000198821","CD247","CD247 molecule [Source:HGNC Symbol;Acc:HGNC:1677]"
"ENSG00000198830","HMGN2","high mobility group nucleosomal binding domain 2 [Source:HGNC Symbol;Acc:HGNC:4986]"
"ENSG00000198835","GJC2","gap junction protein gamma 2 [Source:HGNC Symbol;Acc:HGNC:17494]"
"ENSG00000198837","DENND4B","DENN domain containing 4B [Source:HGNC Symbol;Acc:HGNC:29044]"
"ENSG00000198841","KTI12","KTI12 chromatin associated homolog [Source:HGNC Symbol;Acc:HGNC:25160]"
"ENSG00000198857","HSD3BP5","hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:5223]"
"ENSG00000198860","TSEN15","tRNA splicing endonuclease subunit 15 [Source:HGNC Symbol;Acc:HGNC:16791]"
"ENSG00000198885","ITPRIPL1","ITPRIP like 1 [Source:HGNC Symbol;Acc:HGNC:29371]"
"ENSG00000198890","PRMT6","protein arginine methyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18241]"
"ENSG00000198892","SHISA4","shisa family member 4 [Source:HGNC Symbol;Acc:HGNC:27139]"
"ENSG00000198912","C1orf174","chromosome 1 open reading frame 174 [Source:HGNC Symbol;Acc:HGNC:27915]"
"ENSG00000198925","ATG9A","autophagy related 9A [Source:HGNC Symbol;Acc:HGNC:22408]"
"ENSG00000198929","NOS1AP","nitric oxide synthase 1 adaptor protein [Source:HGNC Symbol;Acc:HGNC:16859]"
"ENSG00000198952","SMG5","SMG5 nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:24644]"
"ENSG00000198976","MIR429","microRNA 429 [Source:HGNC Symbol;Acc:HGNC:13784]"
"ENSG00000199471","","Y RNA [Source:RFAM;Acc:RF00019]"
"ENSG00000200087","SNORA73B","small nucleolar RNA, H/ACA box 73B [Source:HGNC Symbol;Acc:HGNC:10116]"
"ENSG00000200403","RNU6-1099P","RNA, U6 small nuclear 1099, pseudogene [Source:HGNC Symbol;Acc:HGNC:48062]"
"ENSG00000200550","RNU6-137P","RNA, U6 small nuclear 137, pseudogene [Source:HGNC Symbol;Acc:HGNC:47100]"
"ENSG00000200674","RN7SKP160","RN7SK pseudogene 160 [Source:HGNC Symbol;Acc:HGNC:45884]"
"ENSG00000200913","SNORD46","small nucleolar RNA, C/D box 46 [Source:HGNC Symbol;Acc:HGNC:10186]"
"ENSG00000200924","RNU6-1048P","RNA, U6 small nuclear 1048, pseudogene [Source:HGNC Symbol;Acc:HGNC:48011]"
"ENSG00000201134","","Y RNA [Source:RFAM;Acc:RF00019]"
"ENSG00000201492","RNA5SP78","RNA, 5S ribosomal pseudogene 78 [Source:HGNC Symbol;Acc:HGNC:42855]"
"ENSG00000201544","SNORA16B","small nucleolar RNA, H/ACA box 16B [Source:HGNC Symbol;Acc:HGNC:32606]"
"ENSG00000201900","RNY1P13","RNY1 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:50876]"
"ENSG00000202078","","Y RNA [Source:RFAM;Acc:RF00019]"
"ENSG00000202079","","Y RNA [Source:RFAM;Acc:RF00019]"
"ENSG00000202382","","Y RNA [Source:RFAM;Acc:RF00019]"
"ENSG00000202415","RN7SKP269","RN7SK pseudogene 269 [Source:HGNC Symbol;Acc:HGNC:45993]"
"ENSG00000202461","","Y RNA [Source:RFAM;Acc:RF00019]"
"ENSG00000203288","TDRKH-AS1","TDRKH antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40578]"
"ENSG00000203327","","novel transcript"
"ENSG00000203356","LINC01562","long intergenic non-protein coding RNA 1562 [Source:HGNC Symbol;Acc:HGNC:51335]"
"ENSG00000203387","SNF8P1","SNF8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54702]"
"ENSG00000203666","EFCAB2","EF-hand calcium binding domain 2 [Source:HGNC Symbol;Acc:HGNC:28166]"
"ENSG00000203667","COX20","cytochrome c oxidase assembly factor COX20 [Source:HGNC Symbol;Acc:HGNC:26970]"
"ENSG00000203668","CHML","CHM like Rab escort protein [Source:HGNC Symbol;Acc:HGNC:1941]"
"ENSG00000203697","CAPN8","calpain 8 [Source:HGNC Symbol;Acc:HGNC:1485]"
"ENSG00000203705","TATDN3","TatD DNase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:27010]"
"ENSG00000203709","MIR29B2CHG","MIR29B2 and MIR29C host gene [Source:HGNC Symbol;Acc:HGNC:32018]"
"ENSG00000203721","LINC00862","long intergenic non-protein coding RNA 862 [Source:HGNC Symbol;Acc:HGNC:21901]"
"ENSG00000203724","C1orf53","chromosome 1 open reading frame 53 [Source:HGNC Symbol;Acc:HGNC:30003]"
"ENSG00000203739","PRDX6-AS1","PRDX6 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:54870]"
"ENSG00000203740","NTMT2","N-terminal Xaa-Pro-Lys N-methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:31932]"
"ENSG00000203814","H2BC18","H2B clustered histone 18 [Source:HGNC Symbol;Acc:HGNC:24700]"
"ENSG00000203865","ATP1A1-AS1","ATP1A1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:28262]"
"ENSG00000203914","HSP90B3P","heat shock protein 90 beta family member 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:12100]"
"ENSG00000203943","SAMD13","sterile alpha motif domain containing 13 [Source:HGNC Symbol;Acc:HGNC:24582]"
"ENSG00000203965","EFCAB7","EF-hand calcium binding domain 7 [Source:HGNC Symbol;Acc:HGNC:29379]"
"ENSG00000203985","LDLRAD1","low density lipoprotein receptor class A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:32069]"
"ENSG00000203995","ZYG11A","zyg-11 family member A, cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:32058]"
"ENSG00000204060","FOXO6","forkhead box O6 [Source:HGNC Symbol;Acc:HGNC:24814]"
"ENSG00000204084","INPP5B","inositol polyphosphate-5-phosphatase B [Source:HGNC Symbol;Acc:HGNC:6077]"
"ENSG00000204099","NEU4","neuraminidase 4 [Source:HGNC Symbol;Acc:HGNC:21328]"
"ENSG00000204104","TRAF3IP1","TRAF3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:17861]"
"ENSG00000204120","GIGYF2","GRB10 interacting GYF protein 2 [Source:HGNC Symbol;Acc:HGNC:11960]"
"ENSG00000204128","C2orf72","chromosome 2 open reading frame 72 [Source:HGNC Symbol;Acc:HGNC:27418]"
"ENSG00000204138","PHACTR4","phosphatase and actin regulator 4 [Source:HGNC Symbol;Acc:HGNC:25793]"
"ENSG00000204160","ZDHHC18","zinc finger DHHC-type palmitoyltransferase 18 [Source:HGNC Symbol;Acc:HGNC:20712]"
"ENSG00000204178","MACO1","macoilin 1 [Source:HGNC Symbol;Acc:HGNC:25572]"
"ENSG00000204186","ZDBF2","zinc finger DBF-type containing 2 [Source:HGNC Symbol;Acc:HGNC:29313]"
"ENSG00000204217","BMPR2","bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]"
"ENSG00000204219","TCEA3","transcription elongation factor A3 [Source:HGNC Symbol;Acc:HGNC:11615]"
"ENSG00000204253","HNRNPCP2","heterogeneous nuclear ribonucleoprotein C pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:48814]"
"ENSG00000204262","COL5A2","collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]"
"ENSG00000204311","PJVK","pejvakin [Source:HGNC Symbol;Acc:HGNC:29502]"
"ENSG00000204334","ERICH2","glutamate rich 2 [Source:HGNC Symbol;Acc:HGNC:44395]"
"ENSG00000204335","SP5","Sp5 transcription factor [Source:HGNC Symbol;Acc:HGNC:14529]"
"ENSG00000204380","PKP4-AS1","PKP4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:52580]"
"ENSG00000204406","MBD5","methyl-CpG binding domain protein 5 [Source:HGNC Symbol;Acc:HGNC:20444]"
"ENSG00000204501","PRAMEF15","PRAME family member 15 [Source:HGNC Symbol;Acc:HGNC:26764]"
"ENSG00000204505","PRAMEF9","PRAME family member 9 [Source:HGNC Symbol;Acc:HGNC:27996]"
"ENSG00000204581","ACOXL-AS1","ACOXL antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41112]"
"ENSG00000204588","LINC01123","long intergenic non-protein coding RNA 1123 [Source:HGNC Symbol;Acc:HGNC:49269]"
"ENSG00000204624","DISP3","dispatched RND transporter family member 3 [Source:HGNC Symbol;Acc:HGNC:29251]"
"ENSG00000204634","TBC1D8","TBC1 domain family member 8 [Source:HGNC Symbol;Acc:HGNC:17791]"
"ENSG00000204685","STARD7-AS1","STARD7 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40827]"
"ENSG00000204745","","anaphase promoting complex subunit 1 (ANAPC1) pseudogene"
"ENSG00000204792","LINC01291","long intergenic non-protein coding RNA 1291 [Source:HGNC Symbol;Acc:HGNC:50358]"
"ENSG00000204843","DCTN1","dynactin subunit 1 [Source:HGNC Symbol;Acc:HGNC:2711]"
"ENSG00000204859","ZBTB48","zinc finger and BTB domain containing 48 [Source:HGNC Symbol;Acc:HGNC:4930]"
"ENSG00000204872","NAT8B","N-acetyltransferase 8B (putative, gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:30235]"
"ENSG00000204923","FBXO48","F-box protein 48 [Source:HGNC Symbol;Acc:HGNC:33857]"
"ENSG00000205054","LINC01121","long intergenic non-protein coding RNA 1121 [Source:HGNC Symbol;Acc:HGNC:49266]"
"ENSG00000205090","TMEM240","transmembrane protein 240 [Source:HGNC Symbol;Acc:HGNC:25186]"
"ENSG00000205111","CDKL4","cyclin dependent kinase like 4 [Source:HGNC Symbol;Acc:HGNC:19287]"
"ENSG00000205116","TMEM88B","transmembrane protein 88B [Source:HGNC Symbol;Acc:HGNC:37099]"
"ENSG00000205639","MFSD2B","MFSD2 lysolipid transporter B, sphingolipid [Source:HGNC Symbol;Acc:HGNC:37207]"
"ENSG00000205795","CYS1","cystin 1 [Source:HGNC Symbol;Acc:HGNC:18525]"
"ENSG00000206762","RNU6-418P","RNA, U6 small nuclear 418, pseudogene [Source:HGNC Symbol;Acc:HGNC:47381]"
"ENSG00000206869","SNORA70F","small nucleolar RNA, H/ACA box 70F [Source:HGNC Symbol;Acc:HGNC:34358]"
"ENSG00000206878","",""
"ENSG00000206888","RNU6-48P","RNA, U6 small nuclear 48, pseudogene [Source:HGNC Symbol;Acc:HGNC:34292]"
"ENSG00000207047","SNORD51","small nucleolar RNA, C/D box 51 [Source:HGNC Symbol;Acc:HGNC:10201]"
"ENSG00000207181","SNORA14B","small nucleolar RNA, H/ACA box 14B [Source:HGNC Symbol;Acc:HGNC:32603]"
"ENSG00000207475","SNORA80E","small nucleolar RNA, H/ACA box 80E [Source:HGNC Symbol;Acc:HGNC:32635]"
"ENSG00000207523","SNORA66","small nucleolar RNA, H/ACA box 66 [Source:HGNC Symbol;Acc:HGNC:10223]"
"ENSG00000207607","MIR200A","microRNA 200a [Source:HGNC Symbol;Acc:HGNC:31578]"
"ENSG00000207611","MIR149","microRNA 149 [Source:HGNC Symbol;Acc:HGNC:31536]"
"ENSG00000207721","MIR186","microRNA 186 [Source:HGNC Symbol;Acc:HGNC:31557]"
"ENSG00000207730","MIR200B","microRNA 200b [Source:HGNC Symbol;Acc:HGNC:31579]"
"ENSG00000207750","MIR553","microRNA 553 [Source:HGNC Symbol;Acc:HGNC:32809]"
"ENSG00000207923","MIR559","microRNA 559 [Source:HGNC Symbol;Acc:HGNC:32815]"
"ENSG00000208772","SNORD94","small nucleolar RNA, C/D box 94 [Source:HGNC Symbol;Acc:HGNC:32756]"
"ENSG00000211452","DIO1","iodothyronine deiodinase 1 [Source:HGNC Symbol;Acc:HGNC:2883]"
"ENSG00000211454","AKR7L","aldo-keto reductase family 7 like (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:24056]"
"ENSG00000211460","TSN","translin [Source:HGNC Symbol;Acc:HGNC:12379]"
"ENSG00000212175","",""
"ENSG00000212237","RNA5SP18","RNA, 5S ribosomal pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:42586]"
"ENSG00000212283","SNORD89","small nucleolar RNA, C/D box 89 [Source:HGNC Symbol;Acc:HGNC:32750]"
"ENSG00000212541","RNU6-510P","RNA, U6 small nuclear 510, pseudogene [Source:HGNC Symbol;Acc:HGNC:47473]"
"ENSG00000213028","KIAA1191P3","KIAA1191 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:56787]"
"ENSG00000213033","AURKAP1","aurora kinase A pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:18611]"
"ENSG00000213036","","adaptor-related protein complex 3 pseudogene"
"ENSG00000213045","","cofilin 1 (non-muscle) (CFL1) pseudogene"
"ENSG00000213047","DENND1B","DENN domain containing 1B [Source:HGNC Symbol;Acc:HGNC:28404]"
"ENSG00000213051","RPL5P5","ribosomal protein L5 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:35564]"
"ENSG00000213057","C1orf220","chromosome 1 putative open reading frame 220 [Source:HGNC Symbol;Acc:HGNC:33805]"
"ENSG00000213062","","novel transcript"
"ENSG00000213064","SFT2D2","SFT2 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25140]"
"ENSG00000213070","HMGB3P6","high mobility group box 3 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:39283]"
"ENSG00000213080","","spermine synthase (SMS) pseudogene"
"ENSG00000213085","CFAP45","cilia and flagella associated protein 45 [Source:HGNC Symbol;Acc:HGNC:17229]"
"ENSG00000213090","SCYL2P1","SCYL2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54685]"
"ENSG00000213104","NPM1P46","nucleophosmin 1 pseudogene 46 [Source:HGNC Symbol;Acc:HGNC:45225]"
"ENSG00000213160","KLHL23","kelch like family member 23 [Source:HGNC Symbol;Acc:HGNC:27506]"
"ENSG00000213189","BTF3L4P2","basic transcription factor 3 like 4 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39646]"
"ENSG00000213190","MLLT11","MLLT11 transcription factor 7 cofactor [Source:HGNC Symbol;Acc:HGNC:16997]"
"ENSG00000213194","CDK7P1","cyclin dependent kinase 7 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:18614]"
"ENSG00000213222","TOMM40P4","TOMM40 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:54633]"
"ENSG00000213225","NOC2LP1","NOC2 like nucleolar associated transcriptional repressor pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:52285]"
"ENSG00000213236","YWHAZP2","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:31078]"
"ENSG00000213239","NPM1P32","nucleophosmin 1 pseudogene 32 [Source:HGNC Symbol;Acc:HGNC:45211]"
"ENSG00000213281","NRAS","NRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:7989]"
"ENSG00000213337","ANKRD39","ankyrin repeat domain 39 [Source:HGNC Symbol;Acc:HGNC:28640]"
"ENSG00000213366","GSTM2","glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]"
"ENSG00000213399","RPS2P17","ribosomal protein S2 pseudogene 17 [Source:HGNC Symbol;Acc:HGNC:35764]"
"ENSG00000213453","FTH1P3","ferritin heavy chain 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:3990]"
"ENSG00000213516","RBMXL1","RBMX like 1 [Source:HGNC Symbol;Acc:HGNC:25073]"
"ENSG00000213553","RPLP0P6","ribosomal protein lateral stalk subunit P0 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:36404]"
"ENSG00000213560","","signal sequence receptor, gamma (translocon-associated protein gamma) (SSR3) pseudogene"
"ENSG00000213625","LEPROT","leptin receptor overlapping transcript [Source:HGNC Symbol;Acc:HGNC:29477]"
"ENSG00000213626","LBH","LBH regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:29532]"
"ENSG00000213639","PPP1CB","protein phosphatase 1 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9282]"
"ENSG00000213690","","novel zinc finger protein pseudogene"
"ENSG00000213699","SLC35F6","solute carrier family 35 member F6 [Source:HGNC Symbol;Acc:HGNC:26055]"
"ENSG00000213772","EIF1P7","eukaryotic translation initiation factor 1 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:49620]"
"ENSG00000213901","SLC23A3","solute carrier family 23 member 3 [Source:HGNC Symbol;Acc:HGNC:20601]"
"ENSG00000213938","SEPHS1P6","selenophosphate synthetase 1 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:42168]"
"ENSG00000213946","DNAJB1P1","DNAJB1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:24988]"
"ENSG00000213958","KRT18P29","keratin 18 pseudogene 29 [Source:HGNC Symbol;Acc:HGNC:33398]"
"ENSG00000213963","","novel transcript"
"ENSG00000213981","","novel transcript, antisense to MYO3B"
"ENSG00000214077","GNAQP1","G protein subunit alpha q pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4391]"
"ENSG00000214114","MYCBP","MYC binding protein [Source:HGNC Symbol;Acc:HGNC:7554]"
"ENSG00000214144","","heat shock 70kDa protein 8 (HSPA8) pseudogene"
"ENSG00000214184","GCC2-AS1","GCC2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:28126]"
"ENSG00000214193","SH3D21","SH3 domain containing 21 [Source:HGNC Symbol;Acc:HGNC:26236]"
"ENSG00000214199","EEF1A1P12","eukaryotic translation elongation factor 1 alpha 1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:3195]"
"ENSG00000214513","NOTO","notochord homeobox [Source:HGNC Symbol;Acc:HGNC:31839]"
