"","mgi_symbol","description"
"ENSMUSG00000005374","Tbl2","transducin (beta)-like 2 [Source:MGI Symbol;Acc:MGI:1351652]"
"ENSMUSG00000005378","Bud23","BUD23, rRNA methyltransferase and ribosome maturation factor [Source:MGI Symbol;Acc:MGI:1913388]"
"ENSMUSG00000005474","Myl10","myosin, light chain 10, regulatory [Source:MGI Symbol;Acc:MGI:1891705]"
"ENSMUSG00000005514","Por","cytochrome p450 oxidoreductase [Source:MGI Symbol;Acc:MGI:97744]"
"ENSMUSG00000005625","Psmd4","proteasome (prosome, macropain) 26S subunit, non-ATPase, 4 [Source:MGI Symbol;Acc:MGI:1201670]"
"ENSMUSG00000005640","Insrr","insulin receptor-related receptor [Source:MGI Symbol;Acc:MGI:1346037]"
"ENSMUSG00000005667","Mthfd2","methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase [Source:MGI Symbol;Acc:MGI:1338850]"
"ENSMUSG00000005774","Rfx5","regulatory factor X, 5 (influences HLA class II expression) [Source:MGI Symbol;Acc:MGI:1858421]"
"ENSMUSG00000005779","Psmb4","proteasome (prosome, macropain) subunit, beta type 4 [Source:MGI Symbol;Acc:MGI:1098257]"
"ENSMUSG00000005893","Nr2c2","nuclear receptor subfamily 2, group C, member 2 [Source:MGI Symbol;Acc:MGI:1352466]"
"ENSMUSG00000005907","Pex1","peroxisomal biogenesis factor 1 [Source:MGI Symbol;Acc:MGI:1918632]"
"ENSMUSG00000006143","Upk3bl","uroplakin 3B-like [Source:MGI Symbol;Acc:MGI:1916915]"
"ENSMUSG00000006215","Zbtb17","zinc finger and BTB domain containing 17 [Source:MGI Symbol;Acc:MGI:107410]"
"ENSMUSG00000006216","Clcnkb","chloride channel, voltage-sensitive Kb [Source:MGI Symbol;Acc:MGI:1930643]"
"ENSMUSG00000006218","Fam131c","family with sequence similarity 131, member C [Source:MGI Symbol;Acc:MGI:2685539]"
"ENSMUSG00000006219","Fblim1","filamin binding LIM protein 1 [Source:MGI Symbol;Acc:MGI:1921452]"
"ENSMUSG00000006221","Hspb7","heat shock protein family, member 7 (cardiovascular) [Source:MGI Symbol;Acc:MGI:1352494]"
"ENSMUSG00000006262","Mob1b","MOB kinase activator 1B [Source:MGI Symbol;Acc:MGI:1915723]"
"ENSMUSG00000006386","Tek","TEK receptor tyrosine kinase [Source:MGI Symbol;Acc:MGI:98664]"
"ENSMUSG00000006390","Elovl1","ELOVL fatty acid elongase 1 [Source:MGI Symbol;Acc:MGI:1858959]"
"ENSMUSG00000006392","Med8","mediator complex subunit 8 [Source:MGI Symbol;Acc:MGI:1915269]"
"ENSMUSG00000006395","Hyi","hydroxypyruvate isomerase (putative) [Source:MGI Symbol;Acc:MGI:1915430]"
"ENSMUSG00000006398","Cdc20","cell division cycle 20 [Source:MGI Symbol;Acc:MGI:1859866]"
"ENSMUSG00000006442","Srm","spermidine synthase [Source:MGI Symbol;Acc:MGI:102690]"
"ENSMUSG00000006445","Epha2","Eph receptor A2 [Source:MGI Symbol;Acc:MGI:95278]"
"ENSMUSG00000006638","Abhd1","abhydrolase domain containing 1 [Source:MGI Symbol;Acc:MGI:1931013]"
"ENSMUSG00000006641","Slc5a6","solute carrier family 5 (sodium-dependent vitamin transporter), member 6 [Source:MGI Symbol;Acc:MGI:2660847]"
"ENSMUSG00000006642","Tcf23","transcription factor 23 [Source:MGI Symbol;Acc:MGI:1934960]"
"ENSMUSG00000006699","Cdc42","cell division cycle 42 [Source:MGI Symbol;Acc:MGI:106211]"
"ENSMUSG00000006906","Stambp","STAM binding protein [Source:MGI Symbol;Acc:MGI:1917777]"
"ENSMUSG00000007080","Pole","polymerase (DNA directed), epsilon [Source:MGI Symbol;Acc:MGI:1196391]"
"ENSMUSG00000007207","Stx1a","syntaxin 1A (brain) [Source:MGI Symbol;Acc:MGI:109355]"
"ENSMUSG00000007415","Gatad1","GATA zinc finger domain containing 1 [Source:MGI Symbol;Acc:MGI:1914460]"
"ENSMUSG00000007458","M6pr","mannose-6-phosphate receptor, cation dependent [Source:MGI Symbol;Acc:MGI:96904]"
"ENSMUSG00000007613","Tgfbr1","transforming growth factor, beta receptor I [Source:MGI Symbol;Acc:MGI:98728]"
"ENSMUSG00000007655","Cav1","caveolin 1, caveolae protein [Source:MGI Symbol;Acc:MGI:102709]"
"ENSMUSG00000007812","Zfp655","zinc finger protein 655 [Source:MGI Symbol;Acc:MGI:1919861]"
"ENSMUSG00000007827","Ankrd26","ankyrin repeat domain 26 [Source:MGI Symbol;Acc:MGI:1917887]"
"ENSMUSG00000007872","Id3","inhibitor of DNA binding 3 [Source:MGI Symbol;Acc:MGI:96398]"
"ENSMUSG00000007880","Arid1a","AT-rich interaction domain 1A [Source:MGI Symbol;Acc:MGI:1935147]"
"ENSMUSG00000007987","Ift22","intraflagellar transport 22 [Source:MGI Symbol;Acc:MGI:1914536]"
"ENSMUSG00000008090","Fgfrl1","fibroblast growth factor receptor-like 1 [Source:MGI Symbol;Acc:MGI:2150920]"
"ENSMUSG00000008140","Emc10","ER membrane protein complex subunit 10 [Source:MGI Symbol;Acc:MGI:1916933]"
"ENSMUSG00000008153","Clstn3","calsyntenin 3 [Source:MGI Symbol;Acc:MGI:2178323]"
"ENSMUSG00000008193","Spib","Spi-B transcription factor (Spi-1/PU.1 related) [Source:MGI Symbol;Acc:MGI:892986]"
"ENSMUSG00000008305","Tle1","transducin-like enhancer of split 1 [Source:MGI Symbol;Acc:MGI:104636]"
"ENSMUSG00000008307","1700109H08Rik","RIKEN cDNA 1700109H08 gene [Source:MGI Symbol;Acc:MGI:1924286]"
"ENSMUSG00000008348","Ubc","ubiquitin C [Source:MGI Symbol;Acc:MGI:98889]"
"ENSMUSG00000008540","Mgst1","microsomal glutathione S-transferase 1 [Source:MGI Symbol;Acc:MGI:1913850]"
"ENSMUSG00000008575","Nfib","nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]"
"ENSMUSG00000008730","Hipk1","homeodomain interacting protein kinase 1 [Source:MGI Symbol;Acc:MGI:1314873]"
"ENSMUSG00000008932","Slc1a7","solute carrier family 1 (glutamate transporter), member 7 [Source:MGI Symbol;Acc:MGI:2444087]"
"ENSMUSG00000009013","Dynll1","dynein light chain LC8-type 1 [Source:MGI Symbol;Acc:MGI:1861457]"
"ENSMUSG00000009112","Bcl2l13","BCL2 like 13 [Source:MGI Symbol;Acc:MGI:2136959]"
"ENSMUSG00000009145","Dqx1","DEAQ RNA-dependent ATPase [Source:MGI Symbol;Acc:MGI:2136388]"
"ENSMUSG00000009376","Met","met proto-oncogene [Source:MGI Symbol;Acc:MGI:96969]"
"ENSMUSG00000009394","Syn2","synapsin II [Source:MGI Symbol;Acc:MGI:103020]"
"ENSMUSG00000009640","Dmap1","DNA methyltransferase 1-associated protein 1 [Source:MGI Symbol;Acc:MGI:1913483]"
"ENSMUSG00000009863","Sdhb","succinate dehydrogenase complex, subunit B, iron sulfur (Ip) [Source:MGI Symbol;Acc:MGI:1914930]"
"ENSMUSG00000010517","Faf1","Fas-associated factor 1 [Source:MGI Symbol;Acc:MGI:109419]"
"ENSMUSG00000010721","Lmbr1","limb region 1 [Source:MGI Symbol;Acc:MGI:1861746]"
"ENSMUSG00000010825","Grid2ip","glutamate receptor, ionotropic, delta 2 (Grid2) interacting protein 1 [Source:MGI Symbol;Acc:MGI:2176213]"
"ENSMUSG00000011034","Slc5a1","solute carrier family 5 (sodium/glucose cotransporter), member 1 [Source:MGI Symbol;Acc:MGI:107678]"
"ENSMUSG00000011257","Pabpc4","poly(A) binding protein, cytoplasmic 4 [Source:MGI Symbol;Acc:MGI:2385206]"
"ENSMUSG00000011831","Evi5","ecotropic viral integration site 5 [Source:MGI Symbol;Acc:MGI:104736]"
"ENSMUSG00000011884","Gltp","glycolipid transfer protein [Source:MGI Symbol;Acc:MGI:1929253]"
"ENSMUSG00000012117","Dhdds","dehydrodolichyl diphosphate synthase [Source:MGI Symbol;Acc:MGI:1914672]"
"ENSMUSG00000012123","Crybg2","crystallin beta-gamma domain containing 2 [Source:MGI Symbol;Acc:MGI:1334463]"
"ENSMUSG00000012126","Ubxn11","UBX domain protein 11 [Source:MGI Symbol;Acc:MGI:1914836]"
"ENSMUSG00000012396","Nanog","Nanog homeobox [Source:MGI Symbol;Acc:MGI:1919200]"
"ENSMUSG00000012428","Steap4","STEAP family member 4 [Source:MGI Symbol;Acc:MGI:1923560]"
"ENSMUSG00000012483","Rpa3","replication protein A3 [Source:MGI Symbol;Acc:MGI:1915490]"
"ENSMUSG00000012535","Tnpo3","transportin 3 [Source:MGI Symbol;Acc:MGI:1196412]"
"ENSMUSG00000012640","Zfp715","zinc finger protein 715 [Source:MGI Symbol;Acc:MGI:1917180]"
"ENSMUSG00000012777","Acp4","acid phosphatase 4 [Source:MGI Symbol;Acc:MGI:3644563]"
"ENSMUSG00000013495","Tmem175","transmembrane protein 175 [Source:MGI Symbol;Acc:MGI:1919642]"
"ENSMUSG00000013622","Atraid","all-trans retinoic acid induced differentiation factor [Source:MGI Symbol;Acc:MGI:1918918]"
"ENSMUSG00000013629","Cad","carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase [Source:MGI Symbol;Acc:MGI:1916969]"
"ENSMUSG00000013736","Trnt1","tRNA nucleotidyl transferase, CCA-adding, 1 [Source:MGI Symbol;Acc:MGI:1917297]"
"ENSMUSG00000013936","Myl2","myosin, light polypeptide 2, regulatory, cardiac, slow [Source:MGI Symbol;Acc:MGI:97272]"
"ENSMUSG00000014158","Trpv4","transient receptor potential cation channel, subfamily V, member 4 [Source:MGI Symbol;Acc:MGI:1926945]"
"ENSMUSG00000014550","Rbsn","rabenosyn, RAB effector [Source:MGI Symbol;Acc:MGI:1925537]"
"ENSMUSG00000014551","Mrps25","mitochondrial ribosomal protein S25 [Source:MGI Symbol;Acc:MGI:1928140]"
"ENSMUSG00000014554","Dguok","deoxyguanosine kinase [Source:MGI Symbol;Acc:MGI:1351602]"
"ENSMUSG00000014592","Camta1","calmodulin binding transcription activator 1 [Source:MGI Symbol;Acc:MGI:2140230]"
"ENSMUSG00000014599","Csf1","colony stimulating factor 1 (macrophage) [Source:MGI Symbol;Acc:MGI:1339753]"
"ENSMUSG00000014601","Strip1","striatin interacting protein 1 [Source:MGI Symbol;Acc:MGI:2443884]"
"ENSMUSG00000014668","Chfr","checkpoint with forkhead and ring finger domains [Source:MGI Symbol;Acc:MGI:2444898]"
"ENSMUSG00000014704","Hoxa2","homeobox A2 [Source:MGI Symbol;Acc:MGI:96174]"
"ENSMUSG00000014747","Ankrd53","ankyrin repeat domain 53 [Source:MGI Symbol;Acc:MGI:1922555]"
"ENSMUSG00000014748","Tex261","testis expressed gene 261 [Source:MGI Symbol;Acc:MGI:1096575]"
"ENSMUSG00000014932","Yes1","YES proto-oncogene 1, Src family tyrosine kinase [Source:MGI Symbol;Acc:MGI:99147]"
"ENSMUSG00000014956","Ppp1cb","protein phosphatase 1 catalytic subunit beta [Source:MGI Symbol;Acc:MGI:104871]"
"ENSMUSG00000015053","Gata2","GATA binding protein 2 [Source:MGI Symbol;Acc:MGI:95662]"
"ENSMUSG00000015112","Slc25a13","solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 13 [Source:MGI Symbol;Acc:MGI:1354721]"
"ENSMUSG00000015133","Lrrk1","leucine-rich repeat kinase 1 [Source:MGI Symbol;Acc:MGI:2142227]"
"ENSMUSG00000015134","Aldh1a3","aldehyde dehydrogenase family 1, subfamily A3 [Source:MGI Symbol;Acc:MGI:1861722]"
"ENSMUSG00000015189","Casd1","CAS1 domain containing 1 [Source:MGI Symbol;Acc:MGI:2384865]"
"ENSMUSG00000015243","Abca1","ATP-binding cassette, sub-family A member 1 [Source:MGI Symbol;Acc:MGI:99607]"
"ENSMUSG00000015247","Nipsnap3b","nipsnap homolog 3B [Source:MGI Symbol;Acc:MGI:1913786]"
"ENSMUSG00000015522","Arnt","aryl hydrocarbon receptor nuclear translocator [Source:MGI Symbol;Acc:MGI:88071]"
"ENSMUSG00000015652","Steap1","six transmembrane epithelial antigen of the prostate 1 [Source:MGI Symbol;Acc:MGI:1917608]"
"ENSMUSG00000015653","Steap2","six transmembrane epithelial antigen of prostate 2 [Source:MGI Symbol;Acc:MGI:1921301]"
"ENSMUSG00000015702","Anxa9","annexin A9 [Source:MGI Symbol;Acc:MGI:1923711]"
"ENSMUSG00000015709","Arnt2","aryl hydrocarbon receptor nuclear translocator 2 [Source:MGI Symbol;Acc:MGI:107188]"
"ENSMUSG00000015711","Prune1","prune exopolyphosphatase [Source:MGI Symbol;Acc:MGI:1925152]"
"ENSMUSG00000015714","Cers2","ceramide synthase 2 [Source:MGI Symbol;Acc:MGI:1924143]"
"ENSMUSG00000015733","Capza2","capping actin protein of muscle Z-line subunit alpha 2 [Source:MGI Symbol;Acc:MGI:106222]"
"ENSMUSG00000015766","Eps8","epidermal growth factor receptor pathway substrate 8 [Source:MGI Symbol;Acc:MGI:104684]"
"ENSMUSG00000015804","Med28","mediator complex subunit 28 [Source:MGI Symbol;Acc:MGI:1914249]"
"ENSMUSG00000015806","Qdpr","quinoid dihydropteridine reductase [Source:MGI Symbol;Acc:MGI:97836]"
"ENSMUSG00000015879","Fam184b","family with sequence similarity 184, member B [Source:MGI Symbol;Acc:MGI:2442958]"
"ENSMUSG00000015880","Ncapg","non-SMC condensin I complex, subunit G [Source:MGI Symbol;Acc:MGI:1930197]"
"ENSMUSG00000015882","Lcorl","ligand dependent nuclear receptor corepressor-like [Source:MGI Symbol;Acc:MGI:2651932]"
"ENSMUSG00000015942","Gtf2ird2","GTF2I repeat domain containing 2 [Source:MGI Symbol;Acc:MGI:2149780]"
"ENSMUSG00000015944","Castor2","cytosolic arginine sensor for mTORC1 subunit 2 [Source:MGI Symbol;Acc:MGI:1933384]"
"ENSMUSG00000015950","Ncf1","neutrophil cytosolic factor 1 [Source:MGI Symbol;Acc:MGI:97283]"
"ENSMUSG00000016128","Stard13","StAR related lipid transfer domain containing 13 [Source:MGI Symbol;Acc:MGI:2385331]"
"ENSMUSG00000016487","Ppfibp1","PTPRF interacting protein, binding protein 1 (liprin beta 1) [Source:MGI Symbol;Acc:MGI:1914783]"
"ENSMUSG00000016503","Gtf3a","general transcription factor III A [Source:MGI Symbol;Acc:MGI:1913846]"
"ENSMUSG00000016510","Mtif3","mitochondrial translational initiation factor 3 [Source:MGI Symbol;Acc:MGI:1923616]"
"ENSMUSG00000016520","Lnx2","ligand of numb-protein X 2 [Source:MGI Symbol;Acc:MGI:2155959]"
"ENSMUSG00000016833","Mrps18c","mitochondrial ribosomal protein S18C [Source:MGI Symbol;Acc:MGI:1915985]"
"ENSMUSG00000017264","Exosc10","exosome component 10 [Source:MGI Symbol;Acc:MGI:1355322]"
"ENSMUSG00000018001","Cyth3","cytohesin 3 [Source:MGI Symbol;Acc:MGI:1335107]"
"ENSMUSG00000018076","Med13l","mediator complex subunit 13-like [Source:MGI Symbol;Acc:MGI:2670178]"
"ENSMUSG00000018143","Mafk","v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian) [Source:MGI Symbol;Acc:MGI:99951]"
"ENSMUSG00000018341","Il12rb2","interleukin 12 receptor, beta 2 [Source:MGI Symbol;Acc:MGI:1270861]"
"ENSMUSG00000018965","Ywhah","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide [Source:MGI Symbol;Acc:MGI:109194]"
"ENSMUSG00000018974","Sart3","squamous cell carcinoma antigen recognized by T cells 3 [Source:MGI Symbol;Acc:MGI:1858230]"
"ENSMUSG00000018983","E2f2","E2F transcription factor 2 [Source:MGI Symbol;Acc:MGI:1096341]"
"ENSMUSG00000018999","Slc35b4","solute carrier family 35, member B4 [Source:MGI Symbol;Acc:MGI:1931249]"
"ENSMUSG00000019054","Fis1","fission, mitochondrial 1 [Source:MGI Symbol;Acc:MGI:1913687]"
"ENSMUSG00000019055","Plod1","procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1 [Source:MGI Symbol;Acc:MGI:99907]"
"ENSMUSG00000019124","Scrn1","secernin 1 [Source:MGI Symbol;Acc:MGI:1917188]"
"ENSMUSG00000019178","Styxl1","serine/threonine/tyrosine interacting-like 1 [Source:MGI Symbol;Acc:MGI:1923821]"
"ENSMUSG00000019179","Mdh2","malate dehydrogenase 2, NAD (mitochondrial) [Source:MGI Symbol;Acc:MGI:97050]"
"ENSMUSG00000019210","Atp6v1e1","ATPase, H+ transporting, lysosomal V1 subunit E1 [Source:MGI Symbol;Acc:MGI:894326]"
"ENSMUSG00000019295","Tmem129","transmembrane protein 129 [Source:MGI Symbol;Acc:MGI:1915616]"
"ENSMUSG00000019338","Zfp687","zinc finger protein 687 [Source:MGI Symbol;Acc:MGI:1925516]"
"ENSMUSG00000019494","Cops6","COP9 signalosome subunit 6 [Source:MGI Symbol;Acc:MGI:1349439]"
"ENSMUSG00000019518","Ap4m1","adaptor-related protein complex AP-4, mu 1 [Source:MGI Symbol;Acc:MGI:1337063]"
"ENSMUSG00000019528","Gyg1","glycogenin 1 [Source:MGI Symbol;Acc:MGI:1351614]"
"ENSMUSG00000019689","Fmc1","formation of mitochondrial complex V assembly factor 1 [Source:MGI Symbol;Acc:MGI:1913367]"
"ENSMUSG00000019710","Mrpl24","mitochondrial ribosomal protein L24 [Source:MGI Symbol;Acc:MGI:1914957]"
"ENSMUSG00000019836","Amd-ps4","S-adenosylmethionine decarboxylase, pseudogene 4 [Source:MGI Symbol;Acc:MGI:3650439]"
"ENSMUSG00000020220","Vps13d","vacuolar protein sorting 13D [Source:MGI Symbol;Acc:MGI:2448530]"
"ENSMUSG00000020440","Arf5","ADP-ribosylation factor 5 [Source:MGI Symbol;Acc:MGI:99434]"
"ENSMUSG00000022187","Gm5546","predicted gene 5546 [Source:MGI Symbol;Acc:MGI:3648205]"
"ENSMUSG00000023057","Fabp2","fatty acid binding protein 2, intestinal [Source:MGI Symbol;Acc:MGI:95478]"
"ENSMUSG00000023075","Akirin1","akirin 1 [Source:MGI Symbol;Acc:MGI:1915300]"
"ENSMUSG00000023079","Gtf2ird1","general transcription factor II I repeat domain-containing 1 [Source:MGI Symbol;Acc:MGI:1861942]"
"ENSMUSG00000023084","Lrrc71","leucine rich repeat containing 71 [Source:MGI Symbol;Acc:MGI:1921735]"
"ENSMUSG00000023087","Noct","nocturnin [Source:MGI Symbol;Acc:MGI:109382]"
"ENSMUSG00000023089","Ndufa5","NADH:ubiquinone oxidoreductase subunit A5 [Source:MGI Symbol;Acc:MGI:1915452]"
"ENSMUSG00000023104","Rfc2","replication factor C (activator 1) 2 [Source:MGI Symbol;Acc:MGI:1341868]"
"ENSMUSG00000023106","Denr","density-regulated protein [Source:MGI Symbol;Acc:MGI:1915434]"
"ENSMUSG00000023151","Lrrc69","leucine rich repeat containing 69 [Source:MGI Symbol;Acc:MGI:1920564]"
"ENSMUSG00000023191","P3h3","prolyl 3-hydroxylase 3 [Source:MGI Symbol;Acc:MGI:1315208]"
"ENSMUSG00000023232","Serinc2","serine incorporator 2 [Source:MGI Symbol;Acc:MGI:1919132]"
"ENSMUSG00000023247","Guca2a","guanylate cyclase activator 2a (guanylin) [Source:MGI Symbol;Acc:MGI:102738]"
"ENSMUSG00000023267","Gabrr2","gamma-aminobutyric acid type A receptor subunit rho 2 [Source:MGI Symbol;Acc:MGI:95626]"
"ENSMUSG00000023284","Zfp605","zinc finger protein 605 [Source:MGI Symbol;Acc:MGI:2444933]"
"ENSMUSG00000023286","Ube2j2","ubiquitin-conjugating enzyme E2J 2 [Source:MGI Symbol;Acc:MGI:2153608]"
"ENSMUSG00000023328","Ache","acetylcholinesterase [Source:MGI Symbol;Acc:MGI:87876]"
"ENSMUSG00000023348","Trip6","thyroid hormone receptor interactor 6 [Source:MGI Symbol;Acc:MGI:1343458]"
"ENSMUSG00000023353","Agap3","ArfGAP with GTPase domain, ankyrin repeat and PH domain 3 [Source:MGI Symbol;Acc:MGI:2183446]"
"ENSMUSG00000023367","Tmem176a","transmembrane protein 176A [Source:MGI Symbol;Acc:MGI:1913308]"
"ENSMUSG00000023452","Pisd","phosphatidylserine decarboxylase [Source:MGI Symbol;Acc:MGI:2445114]"
"ENSMUSG00000023456","Tpi1","triosephosphate isomerase 1 [Source:MGI Symbol;Acc:MGI:98797]"
"ENSMUSG00000023505","Cdca3","cell division cycle associated 3 [Source:MGI Symbol;Acc:MGI:1315198]"
"ENSMUSG00000023571","C1qtnf12","C1q and tumor necrosis factor related 12 [Source:MGI Symbol;Acc:MGI:1914639]"
"ENSMUSG00000023707","Ogfod2","2-oxoglutarate and iron-dependent oxygenase domain containing 2 [Source:MGI Symbol;Acc:MGI:1913877]"
"ENSMUSG00000024104","Washc2","WASH complex subunit 2 [Source:MGI Symbol;Acc:MGI:106463]"
"ENSMUSG00000024793","Tnfrsf25","tumor necrosis factor receptor superfamily, member 25 [Source:MGI Symbol;Acc:MGI:1934667]"
"ENSMUSG00000025105","Bnc1","basonuclin zinc finger protein 1 [Source:MGI Symbol;Acc:MGI:1097164]"
"ENSMUSG00000025328","Padi3","peptidyl arginine deiminase, type III [Source:MGI Symbol;Acc:MGI:1338891]"
"ENSMUSG00000025329","Padi1","peptidyl arginine deiminase, type I [Source:MGI Symbol;Acc:MGI:1338893]"
"ENSMUSG00000025330","Padi4","peptidyl arginine deiminase, type IV [Source:MGI Symbol;Acc:MGI:1338898]"
"ENSMUSG00000025337","Sbds","SBDS ribosome maturation factor [Source:MGI Symbol;Acc:MGI:1913961]"
"ENSMUSG00000025340","Rabgef1","RAB guanine nucleotide exchange factor (GEF) 1 [Source:MGI Symbol;Acc:MGI:1929459]"
"ENSMUSG00000025413","Ttc4","tetratricopeptide repeat domain 4 [Source:MGI Symbol;Acc:MGI:1919604]"
"ENSMUSG00000025532","Crcp","calcitonin gene-related peptide-receptor component protein [Source:MGI Symbol;Acc:MGI:1100818]"
"ENSMUSG00000025533","Asl","argininosuccinate lyase [Source:MGI Symbol;Acc:MGI:88084]"
"ENSMUSG00000025534","Gusb","glucuronidase, beta [Source:MGI Symbol;Acc:MGI:95872]"
"ENSMUSG00000025537","Phkg1","phosphorylase kinase gamma 1 [Source:MGI Symbol;Acc:MGI:97579]"
"ENSMUSG00000025538","Sumf2","sulfatase modifying factor 2 [Source:MGI Symbol;Acc:MGI:1915152]"
"ENSMUSG00000025607","Copg2","coatomer protein complex, subunit gamma 2 [Source:MGI Symbol;Acc:MGI:1858683]"
"ENSMUSG00000025608","Podxl","podocalyxin-like [Source:MGI Symbol;Acc:MGI:1351317]"
"ENSMUSG00000025609","Mkln1","muskelin 1, intracellular mediator containing kelch motifs [Source:MGI Symbol;Acc:MGI:1351638]"
"ENSMUSG00000025702","Marchf8","membrane associated ring-CH-type finger 8 [Source:MGI Symbol;Acc:MGI:1919029]"
"ENSMUSG00000025743","Sdc3","syndecan 3 [Source:MGI Symbol;Acc:MGI:1349163]"
"ENSMUSG00000025745","Hadha","hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha [Source:MGI Symbol;Acc:MGI:2135593]"
"ENSMUSG00000025746","Il6","interleukin 6 [Source:MGI Symbol;Acc:MGI:96559]"
"ENSMUSG00000025747","Tyms","thymidylate synthase [Source:MGI Symbol;Acc:MGI:98878]"
"ENSMUSG00000025757","Hspa4l","heat shock protein 4 like [Source:MGI Symbol;Acc:MGI:107422]"
"ENSMUSG00000025758","Plk4","polo like kinase 4 [Source:MGI Symbol;Acc:MGI:101783]"
"ENSMUSG00000025759","Mfsd8","major facilitator superfamily domain containing 8 [Source:MGI Symbol;Acc:MGI:1919425]"
"ENSMUSG00000025764","Jade1","jade family PHD finger 1 [Source:MGI Symbol;Acc:MGI:1925835]"
"ENSMUSG00000025791","Pgm1","phosphoglucomutase 1 [Source:MGI Symbol;Acc:MGI:97565]"
"ENSMUSG00000025821","Zfp282","zinc finger protein 282 [Source:MGI Symbol;Acc:MGI:2141413]"
"ENSMUSG00000025823","Pdia4","protein disulfide isomerase associated 4 [Source:MGI Symbol;Acc:MGI:104864]"
"ENSMUSG00000025825","Iscu","iron-sulfur cluster assembly enzyme [Source:MGI Symbol;Acc:MGI:1913633]"
"ENSMUSG00000025854","Fam20c","FAM20C, golgi associated secretory pathway kinase [Source:MGI Symbol;Acc:MGI:2136853]"
"ENSMUSG00000025855","Prkar1b","protein kinase, cAMP dependent regulatory, type I beta [Source:MGI Symbol;Acc:MGI:97759]"
"ENSMUSG00000025856","Pdgfa","platelet derived growth factor, alpha [Source:MGI Symbol;Acc:MGI:97527]"
"ENSMUSG00000025857","Dnaaf5","dynein, axonemal assembly factor 5 [Source:MGI Symbol;Acc:MGI:3616079]"
"ENSMUSG00000025858","Get4","golgi to ER traffic protein 4 [Source:MGI Symbol;Acc:MGI:1914854]"
"ENSMUSG00000025889","Snca","synuclein, alpha [Source:MGI Symbol;Acc:MGI:1277151]"
"ENSMUSG00000027552","E2f5","E2F transcription factor 5 [Source:MGI Symbol;Acc:MGI:105091]"
"ENSMUSG00000027663","Zmat3","zinc finger matrin type 3 [Source:MGI Symbol;Acc:MGI:1195270]"
"ENSMUSG00000027665","Pik3ca","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:MGI Symbol;Acc:MGI:1206581]"
"ENSMUSG00000027667","Zfp639","zinc finger protein 639 [Source:MGI Symbol;Acc:MGI:1915028]"
"ENSMUSG00000027668","Mfn1","mitofusin 1 [Source:MGI Symbol;Acc:MGI:1914664]"
"ENSMUSG00000027669","Gnb4","guanine nucleotide binding protein (G protein), beta 4 [Source:MGI Symbol;Acc:MGI:104581]"
"ENSMUSG00000027679","Dnajc19","DnaJ heat shock protein family (Hsp40) member C19 [Source:MGI Symbol;Acc:MGI:1914963]"
"ENSMUSG00000027680","Fxr1","FMR1 autosomal homolog 1 [Source:MGI Symbol;Acc:MGI:104860]"
"ENSMUSG00000027751","Supt20","SPT20 SAGA complex component [Source:MGI Symbol;Acc:MGI:1929651]"
"ENSMUSG00000027778","Ift80","intraflagellar transport 80 [Source:MGI Symbol;Acc:MGI:1915509]"
"ENSMUSG00000027782","Kpna4","karyopherin subunit alpha 4 [Source:MGI Symbol;Acc:MGI:1100848]"
"ENSMUSG00000027848","Olfml3","olfactomedin-like 3 [Source:MGI Symbol;Acc:MGI:1914877]"
"ENSMUSG00000027860","Vangl1","VANGL planar cell polarity 1 [Source:MGI Symbol;Acc:MGI:2159344]"
"ENSMUSG00000027869","Hsd3b6","hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 6 [Source:MGI Symbol;Acc:MGI:109598]"
"ENSMUSG00000027875","Hmgcs2","3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 [Source:MGI Symbol;Acc:MGI:101939]"
"ENSMUSG00000027876","Reg4","regenerating islet-derived family, member 4 [Source:MGI Symbol;Acc:MGI:1914959]"
"ENSMUSG00000027879","Sec22b","SEC22 homolog B, vesicle trafficking protein [Source:MGI Symbol;Acc:MGI:1338759]"
"ENSMUSG00000027893","Ahcyl1","S-adenosylhomocysteine hydrolase-like 1 [Source:MGI Symbol;Acc:MGI:2385184]"
"ENSMUSG00000027905","Ddx20","DEAD box helicase 20 [Source:MGI Symbol;Acc:MGI:1858415]"
"ENSMUSG00000027907","S100a11","S100 calcium binding protein A11 [Source:MGI Symbol;Acc:MGI:1338798]"
"ENSMUSG00000027913","Crct1","cysteine-rich C-terminal 1 [Source:MGI Symbol;Acc:MGI:1921425]"
"ENSMUSG00000027931","Npr1","natriuretic peptide receptor 1 [Source:MGI Symbol;Acc:MGI:97371]"
